Genre,Parent Genre
Medieval Classical Music,Western Classical Music
Ars antiqua,Medieval Classical Music
Ars nova,Medieval Classical Music
Ars subtilior,Medieval Classical Music
Medieval Lyric Poetry,Medieval Classical Music
Plainsong,Western Classical Music
Ambrosian Chant,Plainsong
Canto mozárabe,Plainsong
Gregorian Chant,Plainsong
Modern Classical,Western Classical Music
Expressionism,Modern Classical
Futurism,Modern Classical
Impressionism,Modern Classical
Indeterminacy,Modern Classical
Microtonal Classical,Modern Classical
Minimalism,Modern Classical
Holy Minimalism,Minimalism
Musique concrète instrumentale,Modern Classical
New Complexity,Modern Classical
Post-Minimalism,Modern Classical
Totalism,Post-Minimalism
Serialism,Modern Classical
Integral Serialism,Serialism
Sonorism,Modern Classical
Spectralism,Modern Classical
Stochastic Music,Modern Classical
Motet,Western Classical Music
Neoclassicism,Western Classical Music
Nocturne,Western Classical Music
Opera,Western Classical Music
Ballad Opera,Opera
Opéra-ballet,Opera
Tragédie en musique,Opera
Grand opéra,Opera
Monodrama,Opera
Opera buffa,Opera
Opéra-comique,Opera
Opera semiseria,Opera
Opera seria,Opera
Operetta,Opera
Kalon'ny fahiny,Operetta
Romantische Oper,Opera
Singspiel,Opera
Verismo,Opera
Zarzuela,Opera
Zeitoper,Opera
Oratorio,Western Classical Music
Orchestral,Western Classical Music
Concerto,Orchestral
Concerto grosso,Orchestral
Orchestral Song,Orchestral
Symphony,Orchestral
Choral Symphony,Symphony
Tone Poem,Orchestral
Overture,Western Classical Music
Prelude,Western Classical Music
Renaissance Music,Western Classical Music
Elizabethan Song,Renaissance Music
Romanticism,Western Classical Music
Grand opéra,Romanticism
Romantische Oper,Romanticism
Serenade,Western Classical Music
Sonata,Western Classical Music
Spanish Classical Music,Western Classical Music
Canto mozárabe,Spanish Classical Music
Zarzuela,Spanish Classical Music
Toccata,Western Classical Music
Comedy,NA
Break-In,Comedy
Dutch Cabaret,Comedy
Kabarett,Comedy
Musical Comedy,Comedy
Comedy Rap,Musical Comedy
Comedy Rock,Musical Comedy
Scrumpy and Western,Musical Comedy
Prank Calls,Comedy
Sketch Comedy,Comedy
Stand-Up Comedy,Comedy
Pop,NA
Adult Contemporary,Pop
Afrobeats,Pop
Afropiano,Afrobeats
Alt-Pop,Pop
Ambient Pop,Pop
Arabic Pop,Pop
Al Jeel,Arabic Pop
Art Pop,Pop
Balkan Pop-Folk,Pop
Chalga,Balkan Pop-Folk
Manele,Balkan Pop-Folk
Modern Laika,Balkan Pop-Folk
Musika popullore,Balkan Pop-Folk
Muzică de mahala,Balkan Pop-Folk
Skiladika,Balkan Pop-Folk
Tallava,Balkan Pop-Folk
Turbo-Folk,Balkan Pop-Folk
Baroque Pop,Pop
Bitpop,Pop
Blue-Eyed Soul,Pop
Boy Band,Pop
Brega calypso,Pop
Brill Building Pop,Pop
Bubblegum,Pop
Cambodian Pop,Pop
Rom kbach,Cambodian Pop
Canción melódica,Pop
Bolero-Beat,Canción melódica
Música cebolla,Canción melódica
CCM,Pop
Praise & Worship,CCM
City Pop,Pop
Classical Crossover,Pop
Country Pop,Pop
Bro-Country,Country Pop
Countrypolitan,Country Pop
Urban Cowboy,Country Pop
C-Pop,Pop
Cantopop,C-Pop
Mandopop,C-Pop
Zhongguo feng,C-Pop
Dance-Pop,Pop
Bubblegum Dance,Dance-Pop
Disco polo,Dance-Pop
Freestyle,Dance-Pop
Latin Freestyle,Freestyle
Funk melody,Dance-Pop
Romanian Popcorn,Dance-Pop
Tecnorumba,Dance-Pop
Township Bubblegum,Dance-Pop
Dangdut,Pop
Dangdut koplo,Dangdut
Dansbandsmusik,Pop
Dansktop,Pop
Denpa,Pop
Easy Listening,Pop
Cocktail Nation,Easy Listening
Exotica,Easy Listening
Light Music,Easy Listening
Lounge,Easy Listening
Pops Orchestra,Easy Listening
Space Age Pop,Easy Listening
Electropop,Pop
Europop,Pop
Flamenco Pop,Pop
Folk Pop,Pop
French Pop,Pop
Girl Group,Pop
Glitch Pop,Pop
Hyperpop,Pop
Indian Pop,Pop
Indie Pop,Pop
Bedroom Pop,Indie Pop
C86,Indie Pop
Chamber Pop,Indie Pop
Neo-Acoustic,Indie Pop
Sonido Donosti,Indie Pop
Twee Pop,Indie Pop
Irish Showband,Pop
Italo Pop,Pop
Canzone neomelodica,Italo Pop
Jazz Pop,Pop
J-Pop,Pop
Akishibu-kei,J-Pop
Kayōkyoku,Pop
Idol kayō,Kayōkyoku
Mood kayō,Kayōkyoku
Techno kayō,Kayōkyoku
Korean Ballad,Pop
Oriental Ballad,Korean Ballad
K-Pop,Pop
Semi-Trot,K-Pop
Latin Pop,Pop
Cumbia pop,Latin Pop
Tropipop,Latin Pop
Lokal musik,Pop
Mulatós,Pop
Nederpop,Pop
New Music,Pop
New Romantic,Pop
OPM,Pop
Orthodox Pop,Pop
Palingsound,Pop
Persian Pop,Pop
Pop Batak,Pop
Pop Ghazal,Pop
Pop Raï,Pop
Pop Reggae,Pop
Pop Rock,Pop
Beat Music,Pop Rock
Freakbeat,Beat Music
Group Sounds,Beat Music
Jovem Guarda,Beat Music
Merseybeat,Beat Music
Nederbeat,Beat Music
Big Music,Pop Rock
Britpop,Pop Rock
Jangle Pop,Pop Rock
C86,Jangle Pop
Neo-Acoustic,Jangle Pop
Manila Sound,Pop Rock
Piano Rock,Pop Rock
Post-Britpop,Pop Rock
Power Pop,Pop Rock
Soft Rock,Pop Rock
Tropical Rock,Soft Rock
Yacht Rock,Soft Rock
Sonido Donosti,Pop Rock
Stereo,Pop Rock
Twee Pop,Pop Rock
Vocal Surf,Pop Rock
Pop Soul,Pop
Motown Sound,Pop Soul
Pop Sunda,Pop
Progressive Pop,Pop
Psychedelic Pop,Pop
Rabiz,Pop
Rigsar,Pop
Rumba catalana,Pop
Russian Chanson,Pop
Schlager,Pop
Humppa,Schlager
Levenslied,Schlager
Volkstümliche Musik,Schlager
Sertanejo romântico,Pop
Sertanejo universitário,Pop
Arrocha sertanejo,Sertanejo universitário
Funknejo,Sertanejo universitário
Shibuya-kei,Pop
Akishibu-kei,Shibuya-kei
Picopop,Shibuya-kei
Sophisti-Pop,Pop
Soviet Estrada,Pop
Sunshine Pop,Pop
Synthpop,Pop
Futurepop,Synthpop
Pon-chak disco,Synthpop
Techno kayō,Synthpop
Teen Pop,Pop
Traditional Pop,Pop
British Dance Band,Traditional Pop
Mood kayō,Traditional Pop
Romanţe,Traditional Pop
Standards,Traditional Pop
Tin Pan Alley,Traditional Pop
Turkish Pop,Pop
V-Pop,Pop
Yé-yé,Pop
Psychedelia,NA
Neo-Psychedelia,Psychedelia
Hypnagogic Pop,Neo-Psychedelia
Paisley Underground,Neo-Psychedelia
Space Rock Revival,Neo-Psychedelia
Psychedelic Folk,Psychedelia
Freak Folk,Psychedelic Folk
Free Folk,Psychedelic Folk
Psychedelic Pop,Psychedelia
Psychedelic Rock,Psychedelia
Acid Rock,Psychedelic Rock
Heavy Psych,Psychedelic Rock
Raga Rock,Psychedelic Rock
Space Rock,Psychedelic Rock
Space Rock Revival,Space Rock
Zamrock,Psychedelic Rock
Psychedelic Soul,Psychedelia
Stoner Rock,Psychedelia
Tropicália,Psychedelia
Rock,NA
Acoustic Rock,Rock
Afro-Rock,Rock
Alternative Rock,Rock
Alternative Dance,Alternative Rock
Grebo,Alternative Dance
New Rave,Alternative Dance
Baggy,Alternative Rock
Britpop,Alternative Rock
Dream Pop,Alternative Rock
Emo-Pop,Alternative Rock
Geek Rock,Alternative Rock
Grunge,Alternative Rock
Indie Rock,Alternative Rock
C86,Indie Rock
Dunedin Sound,Indie Rock
Garage Rock Revival,Indie Rock
Hamburger Schule,Indie Rock
Indie Surf,Indie Rock
Math Pop,Indie Rock
Midwest Emo,Indie Rock
New Rave,Indie Rock
Noise Pop,Indie Rock
Post-Punk Revival,Indie Rock
Slacker Rock,Indie Rock
Slowcore,Indie Rock
Twee Pop,Indie Rock
Jangle Pop,Indie Rock
C86,Jangle Pop
Neo-Acoustic,Jangle Pop
J-Rock,Alternative Rock
Yakousei,J-Rock
Paisley Underground,Alternative Rock
Post-Britpop,Alternative Rock
Post-Grunge,Alternative Rock
Shoegaze,Alternative Rock
Anatolian Rock,Rock
AOR,Rock
Art Punk,Rock
Art Rock,Rock
Bard Rock,Rock
Blues Rock,Rock
Boogie Rock,Blues Rock
British Rhythm & Blues,Rock
Candombe beat,Rock
Christian Rock,Rock
Comedy Rock,Rock
Country Rock,Rock
Cowpunk,Rock
Dark Cabaret,Rock
Deutschrock,Rock
Emo,Rock
Emocore,Emo
Emo-Pop,Emo
Midwest Emo,Emo
Screamo,Emo
Emoviolence,Screamo
Experimental Rock,Rock
Avant-Prog,Experimental Rock
Rock in Opposition,Avant-Prog
Zeuhl,Avant-Prog
Brutal Prog,Experimental Rock
Krautrock,Experimental Rock
No Wave,Experimental Rock
Folk Rock,Rock
Alpenrock,Folk Rock
British Folk Rock,Folk Rock
Celtic Rock,Folk Rock
Mittelalter-Rock,Folk Rock
Nordic Folk Rock,Folk Rock
Phleng phuea chiwit,Folk Rock
Pinoy Folk Rock,Folk Rock
Funk Rock,Rock
Funk Metal,Funk Rock
Garage Rock,Rock
Freakbeat,Garage Rock
Garage Punk,Garage Rock
Garage Rock Revival,Garage Rock
Glam Rock,Rock
Glam Punk,Glam Rock
Hardcore [Punk],Glam Punk
Easycore,Hardcore [Punk]
Grindcore,Hardcore [Punk]
Grindcore,Hardcore [Punk]
Cybergrind,Grindcore
Deathgrind,Grindcore
Goregrind,Grindcore
Gorenoise,Goregrind
Pornogrind,Goregrind
Mincecore,Grindcore
Hardcore Punk,Hardcore [Punk]
Beatdown Hardcore,Hardcore Punk
Burning Spirits,Hardcore Punk
Crossover Thrash,Hardcore Punk
Crust Punk,Hardcore Punk
Blackened Crust,Crust Punk
Neocrust,Crust Punk
Stenchcore,Crust Punk
D-Beat,Hardcore Punk
Japanese Hardcore,Hardcore Punk
Melodic Hardcore,Hardcore Punk
Mincecore,Hardcore Punk
New York Hardcore,Hardcore Punk
Powerviolence,Hardcore Punk
Skacore,Hardcore Punk
Crack Rock Steady,Skacore
Street Punk,Hardcore Punk
Thrashcore,Hardcore Punk
UK82,Hardcore Punk
Metalcore,Hardcore [Punk]
Deathcore,Metalcore
Mathcore,Metalcore
Melodic Metalcore,Metalcore
Nintendocore,Metalcore
Noisecore,Metalcore
Post-Hardcore,Metalcore
Emocore,Post-Hardcore
Screamo,Post-Hardcore
Swancore,Post-Hardcore
Sasscore,Post-Hardcore
Trancecore,Post-Hardcore
Hard Rock,Rock
Glam Metal,Hard Rock
Heavy Psych,Hard Rock
Stoner Rock,Hard Rock
Heartland Rock,Rock
Industrial Rock,Rock
Jam Band,Rock
Jamgrass,Jam Band
Livetronica,Jam Band
Jazz-Rock,Rock
Latin Rock,Rock
Manguebeat,Latin Rock
Math Rock,Rock
Math Pop,Math Rock
Metal,Rock
Alternative Metal,Metal
Funk Metal,Alternative Metal
Neue Deutsche Härte,Alternative Metal
Nu Metal,Alternative Metal
Rap Metal,Alternative Metal
Avant-Garde Metal,Metal
Black Metal,Metal
Atmospheric Black Metal,Black Metal
Blackgaze,Atmospheric Black Metal
Black 'n' Roll,Black Metal
Black Noise,Black Metal
Depressive Black Metal,Black Metal
Melodic Black Metal,Black Metal
Pagan Black Metal,Black Metal
Symphonic Black Metal,Black Metal
War Metal,Black Metal
Death Metal,Metal
Brutal Death Metal,Death Metal
Slam Death Metal,Death Metal
Death 'n' Roll,Death Metal
Deathgrind,Death Metal
Melodic Death Metal,Death Metal
Technical Death Metal,Death Metal
Dissonant Death Metal,Death Metal
Doom Metal,Metal
Death Doom Metal,Doom Metal
Funeral Doom Metal,Doom Metal
Traditional Doom Metal,Doom Metal
Epic Doom Metal,Doom Metal
Drone Metal,Doom Metal
Folk Metal,Doom Metal
Celtic Metal,Folk Metal
Mittelalter-Metal,Folk Metal
Gothic Metal,Metal
Grindcore,Metal
Groove Metal,Metal
Heavy Metal,Metal
NWOBHM,Heavy Metal
Speed Metal,Heavy Metal
US Power Metal,Heavy Metal
Industrial Metal,Metal
Cyber Metal,Industrial Metal
Neue Deutsche Härte,Industrial Metal
Metalcore,Industrial Metal
Neoclassical Metal,Metal
Post-Metal,Metal
Atmospheric Sludge Metal,Post-Metal
Power Metal,Metal
Progressive Metal,Metal
Djent,Progressive Metal
Sludge Metal,Metal
Atmospheric Sludge Metal,Sludge Metal
Southern Metal,Metal
Stenchcore,Metal
Stoner Metal,Metal
Symphonic Metal,Metal
Thrash Metal,Metal
Crossover Thrash,Thrash Metal
Technical Thrash Metal,Thrash Metal
Trance Metal,Metal
Viking Metal,Metal
Miejski folk,Rock
Mod,Rock
Mod Revival,Mod
New Wave,Rock
Neue Deutsche Welle,New Wave
New Romantic,New Wave
Noise Rock,Rock
Pop Rock,Rock
Post-Punk,Coldwave
Dance-Punk,Post-Punk
Gothic Rock,Post-Punk
Deathrock,Gothic Rock
No Wave,Post-Punk
Post-Punk Revival,Post-Punk
Post-Rock,Rock
Progressive Rock,Rock
Avant-Prog,Progressive Rock
Canterbury Scene,Progressive Rock
Brutal Prog,Progressive Rock
Canterbury Scene,Progressive Rock
Neo-Prog,Progressive Rock
Symphonic Prog,Progressive Rock
Proto-Punk,Rock
Psychedelic Rock,Rock
Pub Rock,Rock
Punk Blues,Rock
Punk Rock,Rock
Anarcho-Punk,Punk Rock
Celtic Punk,Punk Rock
Deathrock,Punk Rock
Deutschpunk,Punk Rock
Garage Punk,Punk Rock
Glam Punk,Punk Rock
Hardcore Punk,Punk Rock
Horror Punk,Punk Rock
Könsrock,Punk Rock
Oi!,Punk Rock
Pop Punk,Punk Rock
Psychobilly,Punk Rock
Queercore,Punk Rock
Riot Grrrl,Punk Rock
Ska Punk,Punk Rock
Skacore,Ska Punk
Skate Punk,Punk Rock
Surf Punk,Punk Rock
Vikingarock,Punk Rock
Rap Rock,Rock
Rap Metal,Rap Rock
Rock & Roll,Rock
Indorock,Rock & Roll
Rockabilly,Rock & Roll
Psychobilly,Rockabilly
Twist,Rock & Roll
Rock andaluz,Rock
Rock andino,Rock
Rock Musical,Rock
Rock Opera,Rock
Rock urbano español,Rock
Roots Rock,Rock
Swamp Rock,Rock
Tex-Mex,Rock
Southern Rock,Rock
Red Dirt,Southern Rock
Sufi Rock,Rock
Surf Music,Rock
Indie Surf,Surf Music
Surf Punk,Surf Music
Surf Rock,Surf Music
Eleki,Surf Rock
Rautalanka,Surf Rock
Wong shadow,Surf Rock
Vocal Surf,Surf Rock
Symphonic Rock,Rock
Tolai Rock,Rock
Visual kei,Rock
Zolo,Rock
Field Recordings,NA
Nature Recordings,Field Recordings
Animal Sounds,Nature Recordings
Birdsong,Nature Recordings
Insect Sounds,Nature Recordings
Whale Songs,Nature Recordings
Radio Broadcast Recordings,Field Recordings
Experimental,NA
Conducted Improvisation,Experimental
Data Sonification,Experimental
Drone,Experimental
Electroacoustic,Experimental
Acousmatic Music,Electroacoustic
EAI,Electroacoustic
Musique concrète,Electroacoustic
Free Improvisation,Experimental
EAI,Free Improvisation
Futurism,Experimental
Glitch,Experimental
Indeterminacy,Experimental
Industrial,Experimental
Power Electronics,Industrial
Death Industrial,Power Electronics
Microsound,Industrial
Modern Creative,Experimental
Noise,Experimental
Ambient Noise Wall,Noise
Black Noise,Noise
Gorenoise,Noise
Harsh Noise,Noise
Harsh Noise Wall,Noise
Power Electronics,Noise
Death Industrial,Power Electronics
Power Noise,Noise
Plunderphonics,Noise
Reductionism,Noise
Lowercase,Noise
Onkyo,Noise
Sound Art,Noise
Sound Collage,Noise
Epic Collage,Sound Collage
Sound Poetry,Noise
Tape Music,Noise
Turntable Music,Noise
Ska,NA
2 Tone,Ska
Jamaican Ska,Ska
Spouge,Ska
Third Wave Ska,Ska
Ska Punk,Third Wave Ska
Sounds and Effects,NA
ASMR,Sounds and Effects
Binaural Beats,Sounds and Effects
Spoken Word,NA
Fairy Tales,Spoken Word
Folktales,Spoken Word
Guided Meditation,Spoken Word
Interviews,Spoken Word
Lectures,Spoken Word
Poetry,Spoken Word
Beat Poetry,Poetry
Dub Poetry,Poetry
Jazz Poetry,Poetry
Slam Poetry,Poetry
Sound Poetry,Poetry
Radio Drama,Spoken Word
Speeches,Spoken Word
Singer-Songwriter,NA
Avtorskaya pesnya,Singer-Songwriter
Bard Rock,Avtorskaya pesnya
Canzone d'autore,Singer-Songwriter
Chanson à texte,Singer-Songwriter
Euskal kantagintza berria,Singer-Songwriter
Kleinkunst,Singer-Songwriter
Liedermacher,Singer-Songwriter
Música de intervenção,Singer-Songwriter
Nova cançó,Singer-Songwriter
Nòva cançon,Singer-Songwriter
Nueva canción,Singer-Songwriter
Nueva canción española,Singer-Songwriter
Nueva canción latinoamericana,Singer-Songwriter
Nueva canción chilena,Nueva canción latinoamericana
Nueva trova,Nueva canción latinoamericana
Nuevo Cancionero,Nueva canción latinoamericana
Poezja śpiewana,Singer-Songwriter
Punk,NA
Art Punk,Punk
Cowpunk,Punk
Digital Hardcore,Punk
Emo,Punk
Folk Punk,Punk
Celtic Punk,Folk Punk
Gypsy Punk,Folk Punk
Synth Punk,Punk
New Age,NA
Andean New Age,New Age
Celtic New Age,New Age
Native American New Age,New Age
Neoclassical New Age,New Age
New Age Kirtan,New Age
Tibetan New Age,New Age
Musical Theatre and Entertainment,NA
Ballad Opera,Musical Theatre and Entertainment
Cabaret,Musical Theatre and Entertainment
Cuplé,Musical Theatre and Entertainment
Dutch Cabaret,Musical Theatre and Entertainment
Kabarett,Musical Theatre and Entertainment
Kanto,Musical Theatre and Entertainment
Minstrelsy,Musical Theatre and Entertainment
Murga,Musical Theatre and Entertainment
Murga uruguaya,Murga
Music Hall,Musical Theatre and Entertainment
Operetta,Musical Theatre and Entertainment
Revue,Musical Theatre and Entertainment
Rock Musical,Musical Theatre and Entertainment
Show Tunes,Musical Theatre and Entertainment
Siffleur,Musical Theatre and Entertainment
Singspiel,Musical Theatre and Entertainment
Vaudeville,Musical Theatre and Entertainment
Vaudeville Blues,Vaudeville
R&B,NA
Blue-Eyed Soul,R&B
Boogie,R&B
Contemporary R&B,R&B
Alternative R&B,Contemporary R&B
Hip Hop Soul,Contemporary R&B
New Jack Swing,Contemporary R&B
UK Street Soul,Contemporary R&B
Doo-Wop,R&B
Funk,R&B
Acid Jazz,Funk
Afro-Funk,Funk
Britfunk,Funk
Deep Funk,Funk
Go-Go,Funk
Jazz-Funk,Funk
Latin Funk,Funk
P-Funk,Funk
Porn Groove,Funk
Synth Funk,Funk
Minneapolis Sound,Synth Funk
New Orleans R&B,R&B
Rhythm & Blues,R&B
British Rhythm & Blues,Rhythm & Blues
Swamp Pop,Rhythm & Blues
Twist,Rhythm & Blues
Soul,R&B
Chicago Soul,Soul
Country Soul,Soul
Deep Soul,Soul
Latin Soul,Soul
Neo-Soul,Soul
Northern Soul,Soul
Philly Soul,Soul
Pop Soul,Soul
Psychedelic Soul,Soul
Smooth Soul,Soul
Southern Soul,Soul
Industrial Music,NA
Industrial,Industrial Music
Power Electronics,Industrial
Death Industrial,Power Electronics
Post-Industrial,Industrial Music
Dark Ambient,Post-Industrial
Black Ambient,Dark Ambient
Ritual Ambient,Dark Ambient
Deconstructed Club,Post-Industrial
EBM,Post-Industrial
Dark Electro,EBM
Aggrotech,Dark Electro
Futurepop,EBM
New Beat,EBM
Electro-Industrial,Post-Industrial
Dark Electro,Electro-Industrial
Epic Collage,Post-Industrial
Industrial Hardcore,Post-Industrial
Industrial Hip Hop,Post-Industrial
Industrial Metal,Post-Industrial
Industrial Rock,Post-Industrial
Industrial Techno,Post-Industrial
Birmingham Sound,Industrial Techno
Martial Industrial,Post-Industrial
Power Noise,Post-Industrial
Jazz,NA
Afro-Jazz,Jazz
Arabic Jazz,Jazz
Avant-Garde Jazz,Jazz
Experimental Big Band,Jazz
Free Jazz,Jazz
European Free Jazz,Free Jazz
Yass,Avant-Garde Jazz
Bebop,Jazz
Big Band,Jazz
Experimental Big Band,Big Band
Progressive Big Band,Big Band
British Dance Band,Big Band
Bulawayo Jazz,Jazz
Cape Jazz,Jazz
Cartoon Music,Jazz
Chamber Jazz,Jazz
Cool Jazz,Jazz
Crime Jazz,Jazz
Dark Jazz,Jazz
Dixieland,Jazz
ECM Style Jazz,Jazz
Ethio-Jazz,Jazz
Flamenco Jazz,Jazz
Hard Bop,Jazz
Indo Jazz,Jazz
Jazz-Funk,Jazz
Jazz Fusion,Jazz
Jazz manouches,Jazz
Jazz Poetry,Jazz
Latin Jazz,Jazz
Afro-Cuban Jazz,Latin Jazz
Marabi,Jazz
Kwela,Jazz
Mbaqanga,Jazz
Modal Jazz,Jazz
Post-Bop,Jazz
Samba-jazz,Jazz
Smooth Jazz,Jazz
Soul Jazz,Jazz
Spiritual Jazz,Jazz
Spy Music,Jazz
Stride,Jazz
Swing,Jazz
Swing Revival,Swing
Third Stream,Jazz
Vocal Jazz,Jazz
Metal,NA
Dance,NA
Alternative Dance,Dance
Dance-Pop,Dance
Disco,Dance
Boogie,Disco
Electro-Disco,Disco
Hi-NRG,Electro-Disco
Italo-Disco,Electro-Disco
Space Disco,Electro-Disco
Euro-Disco,Disco
Latin Disco,Disco
Mutant Disco,Disco
Nu-Disco,Disco
Electronic Dance Music,Dance
Artcore,Electronic Dance Music
Balani Show,Electronic Dance Music
Balearic Beat,Electronic Dance Music
Bérite Club,Electronic Dance Music
Breakbeat,Electronic Dance Music
Acid Breaks,Breakbeat
Baltimore Club,Breakbeat
Big Beat,Breakbeat
Breakbeat Hardcore,Breakbeat
Darkside,Breakbeat Hardcore
Hardcore Breaks,Breakbeat Hardcore
Breakbeat kota,Breakbeat
Jungle Dutch,Breakbeat kota
Florida Breaks,Breakbeat
Nu Skool Breaks,Breakbeat
Progressive Breaks,Breakbeat
West Coast Breaks,Breakbeat
Broken Beat,Electronic Dance Music
Bubblegum Bass,Electronic Dance Music
Bubbling,Electronic Dance Music
Budots,Electronic Dance Music
Coupé-décalé,Electronic Dance Music
Cruise Control,Electronic Dance Music
Deconstructed Club,Electronic Dance Music
Digital Cumbia,Electronic Dance Music
Doskpop,Electronic Dance Music
Drum and Bass,Electronic Dance Music
Atmospheric Drum and Bass,Drum and Bass
Dancefloor Drum and Bass,Drum and Bass
Darkstep,Drum and Bass
Crossbreed,Darkstep
Skullstep,Darkstep
Drumfunk,Drum and Bass
Drumstep,Drum and Bass
Dubwise Drum and Bass,Drum and Bass
Footwork Jungle,Drum and Bass
Halftime,Drum and Bass
Hardstep,Drum and Bass
Jazzstep,Drum and Bass
Jump-Up,Drum and Bass
Jungle,Drum and Bass
Ragga Jungle,Jungle
Liquid Drum and Bass,Drum and Bass
Sambass,Drum and Bass
Minimal Drum and Bass,Drum and Bass
Neurofunk,Drum and Bass
Techstep,Drum and Bass
